fold_id,allocation_rule,sleeve_id,sleeve_order,training_sessions,weight,weight_sum,maximum_weight,gross_weight,constraint_valid
wf_2023,equal_weight,trend_ratio_iwm,3,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2023,equal_weight,ema_macd_spy,4,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2023,equal_weight,ema_macd_qqq,5,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2023,equal_weight,ema_macd_iwm,6,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2023,inverse_volatility,trend_ratio_spy,1,756,0.18537840161134411,1,0.19110713330227347,1,True
wf_2023,inverse_volatility,trend_ratio_qqq,2,756,0.15389264709205733,1,0.19110713330227347,1,True
wf_2023,inverse_volatility,trend_ratio_iwm,3,756,0.13506210680467398,1,0.19110713330227347,1,True
wf_2023,inverse_volatility,ema_macd_spy,4,756,0.19110713330227347,1,0.19110713330227347,1,True
wf_2023,inverse_volatility,ema_macd_qqq,5,756,0.17372602015272387,1,0.19110713330227347,1,True
wf_2023,inverse_volatility,ema_macd_iwm,6,756,0.16083369103692721,1,0.19110713330227347,1,True
wf_2023,constrained_minimum_variance,trend_ratio_spy,1,756,0.33221274408540552,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2023,constrained_minimum_variance,trend_ratio_qqq,2,756,0.072314502088174845,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2023,constrained_minimum_variance,trend_ratio_iwm,3,756,0.056929903030670075,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2023,constrained_minimum_variance,ema_macd_spy,4,756,0.24706668024036327,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2023,constrained_minimum_variance,ema_macd_qqq,5,756,0.13987939094842144,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2023,constrained_minimum_variance,ema_macd_iwm,6,756,0.15159677960696497,1.0000000000000002,0.33221274408540552,1.0000000000000002,True
wf_2024,equal_weight,trend_ratio_spy,1,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,equal_weight,trend_ratio_qqq,2,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,equal_weight,trend_ratio_iwm,3,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,equal_weight,ema_macd_spy,4,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,equal_weight,ema_macd_qqq,5,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,equal_weight,ema_macd_iwm,6,1006,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2024,inverse_volatility,trend_ratio_spy,1,1006,0.18574380286723421,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,inverse_volatility,trend_ratio_qqq,2,1006,0.15051855599160524,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,inverse_volatility,trend_ratio_iwm,3,1006,0.13246641548656363,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,inverse_volatility,ema_macd_spy,4,1006,0.19645543466514581,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,inverse_volatility,ema_macd_qqq,5,1006,0.17438531633429327,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,inverse_volatility,ema_macd_iwm,6,1006,0.16043047465515775,0.99999999999999978,0.19645543466514581,0.99999999999999978,True
wf_2024,constrained_minimum_variance,trend_ratio_spy,1,1006,0.34473393751201009,1,0.34473393751201009,1,True
wf_2024,constrained_minimum_variance,trend_ratio_qqq,2,1006,0.047552086978837164,1,0.34473393751201009,1,True
wf_2024,constrained_minimum_variance,trend_ratio_iwm,3,1006,0.058446204920142998,1,0.34473393751201009,1,True
wf_2024,constrained_minimum_variance,ema_macd_spy,4,1006,0.28094355154963963,1,0.34473393751201009,1,True
wf_2024,constrained_minimum_variance,ema_macd_qqq,5,1006,0.13237613860235745,1,0.34473393751201009,1,True
wf_2024,constrained_minimum_variance,ema_macd_iwm,6,1006,0.13594808043701267,1,0.34473393751201009,1,True
wf_2025,equal_weight,trend_ratio_spy,1,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,equal_weight,trend_ratio_qqq,2,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,equal_weight,trend_ratio_iwm,3,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,equal_weight,ema_macd_spy,4,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,equal_weight,ema_macd_qqq,5,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,equal_weight,ema_macd_iwm,6,1258,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2025,inverse_volatility,trend_ratio_spy,1,1258,0.18701254792695254,1,0.20032284285773019,1,True
wf_2025,inverse_volatility,trend_ratio_qqq,2,1258,0.14926456429271495,1,0.20032284285773019,1,True
wf_2025,inverse_volatility,trend_ratio_iwm,3,1258,0.13106023352521443,1,0.20032284285773019,1,True
wf_2025,inverse_volatility,ema_macd_spy,4,1258,0.20032284285773019,1,0.20032284285773019,1,True
wf_2025,inverse_volatility,ema_macd_qqq,5,1258,0.17378122359431789,1,0.20032284285773019,1,True
wf_2025,inverse_volatility,ema_macd_iwm,6,1258,0.15855858780306997,1,0.20032284285773019,1,True
wf_2025,constrained_minimum_variance,trend_ratio_spy,1,1258,0.34999999999999998,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
wf_2025,constrained_minimum_variance,trend_ratio_qqq,2,1258,0.036819428065433021,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
wf_2025,constrained_minimum_variance,trend_ratio_iwm,3,1258,0.060457345491596794,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
wf_2025,constrained_minimum_variance,ema_macd_spy,4,1258,0.31433728633838698,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
wf_2025,constrained_minimum_variance,ema_macd_qqq,5,1258,0.11294593649884722,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
wf_2025,constrained_minimum_variance,ema_macd_iwm,6,1258,0.12544000360573615,1.0000000000000002,0.34999999999999998,1.0000000000000002,True
